1							
斯大林	7-80600-850-0	编著刘乐华等	A74				
马一浮思想新探	978-7-5325-5564-2	吴光主编	B26				
熊十力论学书札	978-7-5458-0086-9	熊十力著;刘海滨编	B26				
体用论	978-7-5458-0087-6	熊士力著	B26				
理性的生存论意蕴	978-7-5004-8362-5	庞立生著	B51				
西方的智慧	978-7-80179-908-1	(英)伯特兰·罗素著;王岚译	B51				
德国古典哲学讲演录	978-7-5355-6428-3	邓晓芒著	B51				
理想国	978-7-80179-793-3	(古希腊)柏拉图著;吴献书译	B50				
沉思录	978-7-80211-629-0	马克·奥勒留著;何怀宏译	B50				
沉思录	978-7-5640-2191-7	"(古罗马)马可·奥勒留著;李娟,杨志译"	B50				
九章集	978-7-5004-8097-6	(古罗马)普罗提诺著;石敏敏译	B50				
哲学的慰藉	978-7-5613-4705-8	(古罗马)波爱修斯著	B50				
实践理性批判	978-7-5004-7544-6	(德)伊曼努尔·康德著;张永奇译	B51				
羁鸟恋旧林	978-7-81119-432-6	张世英著	B53				
哲学的科学化	978-7-81119-208-7	黄_森著	B53				
愿作如是观	978-7-309-07053-8	陈家琪著	B53				
西方哲学史	978-7-5000-8032-9	张世英著	B54				
论人类不平等的起源	978-7-5004-7505-7	(法)让·雅克·卢梭著;吕卓译	B56				
福柯的生存美学	7-300-06806-5	高宣扬著	B56				
罗尔斯正义理论的法文化意蕴	978-7-81129-106-3	盛美军著	B71				
哲学、文学和政治	978-7-5327-4869-3	(美)理查德·罗蒂著;黄宗英等译	B71				
思维决定成败	978-7-300-06276-1	"(英)罗斯·泰勒著;梁雪,王晓霞译"	B80				
求解思维的逻辑	978-7-81110-707-4	张义生著	B80				
逻辑	7-300-06196-6	金岳霖著	B81				
迈向正义与美德	978-7-5060-3638-2	"(英)奥诺拉·奥尼尔著;应奇,陈丽微,郭立"	B81				
西方道德难题九章	978-7-209-04997-9	张桂华著	B82				
教化道德观念研究	978-7-5617-7043-6	主编陈嘉映	B82				
公共伦理学	978-7-5097-1256-6	王振华主编	B82				
中国传统道德举要	978-7-81129-079-0	张锡勤著	B82				
忍经的智慧	7-80175-286-4	原著许名奎;解译司马哲	B82				
道德情操论	978-7-80767-286-9	(英)亚当·斯密著;樊冰译	B82				
林语堂谈人生	978-7-80753-304-7	林语堂著	B82				
我的人学	978-7-301-16891-2	池田大作著	B82				
美好的人生	978-7-81120-638-8	"(美)戴尔·卡内基,(美)陶乐丝·卡内基著"	B82				
受益一生的101条人生定律	978-7-5640-2084-2	姚颖颖编著	B82				
快乐的人生	978-7-81120-640-1	(美)戴尔·卡内基著;霍小智译	B82				
品诗词悟人生	978-7-5461-0529-1	叶庆炳著	B82				
沉思课	978-7-5463-2233-9	(印)艾内斯·艾斯华伦著;高天羽译	B82				
人生的平台	978-7-300-11426-2	霍韬晦著	B82				
读书改变命运	978-7-5113-0090-4	"肖卫,杨辉著"	B82				
一生中要懂得的做人哲理	978-7-104-02993-9	唐译主编	B82				
活着就是幸福	978-7-5435-5319-4	主编张文质	B82				
不要浪费感情	978-7-5060-3772-3	"(美)乔·瓦伊塔尔著;郭升荣,胡晓娇译"	B82				
致加西亚的信	978-7-5640-2190-0	(美)埃尔伯特·哈伯德著;罗珈译	B82				
你在为谁工作	978-7-80258-029-9	"严家明,吕国荣编著"	B82				
社会伦理十讲	978-7-300-08756-6	龚群著	B82				
小窗幽记全书	978-7-80175-978-8	原著陈继儒;编著司马哲	B82				
品格的力量	978-7-5469-0285-2	(英)塞缪尔·斯迈尔斯著;胡军霞译	B82				
东方美学范畴论	978-7-5087-3070-7	"邱紫华,王文革著"	B83				
存在美学的构筑	978-7-01-008901-0	张弘著	B83				
美学史	978-7-300-11827-7	(英)B.鲍桑葵著;张今译	B83				
现代西方美学	978-7-102-04334-0	程孟辉主编	B83				
大学生职场形象设计	978-7-81101-789-2	韩秀景著	B83				
心理学概论	978-7-5639-1311-4	徐厚道编著	B84				
心理学研究要义	978-7-5624-5098-6	詹妮弗·埃文斯著;苏彦捷等译	B84				
基础心理学	978-7-5617-7604-9	"沈德立,阴国恩主编"	B84				
普通心理学	978-7-5617-7617-9	"叶奕乾,何存道,梁宁建编著"	B84				
生活心理学	978-7-5338-7861-0	庄锦英编著	B84				
心理学与人类困境	978-7-300-11880-2	"(美)罗洛·梅著;郭本禹,方红译"	B84				
大学心理学	978-7-300-08685-9	王金道主编	B84				
行为主义讲演录	978-7-80244-067-8	艾其来译	B84				
存在心理学	978-7-300-11878-9	"(美)科克·J·施耐德,罗洛·梅著;杨韶刚,"	B84				
自由与命运	978-7-300-11902-1	(美)罗洛·梅著;杨韶刚译	B84				
心理统计学与SPSS应用	978-7-5617-6906-5	"邓铸,朱晓红编著"	B84				
心理学质性资料的分析	978-7-5624-5363-5	"伊凡希雅·莱昂斯,阿德里安·考利主编;毕"	B84				
心灵与世界	978-7-5004-7777-8	王华平著	B84				
口才心理操控术	978-7-5064-5897-9	于鲲编著	B84				
一生有用的十二个好习惯	978-7-5309-5689-2	新教育实验总课题组编著	B84				
放松	978-7-80179-940-1	刘景斓著	B84				
驾驭人心	978-7-5113-0006-5	梁汉桥著	B84				
爱与意志	978-7-300-11882-6	"(美)罗洛·梅著;宏梅,梁华译"	B84				
处境不利儿童的心理发展现状与教育对策研究	978-7-5058-7602-6	申继亮等著	B84				
儿童心理学	978-7-5338-7859-7	边玉芳等编著	B84				
人际互动与社会行为发展	978-7-5338-7374-5	李丹主编	B84				
儿童心理理论的发展	978-7-5338-7341-7	邓赐平著	B84				
应用发展心理学	978-7-5338-7425-4	桑标编著	B84				
心理援助	978-7-5044-6555-9	张加彬编著	B84				
是谁送来的红玫瑰	978-7-80745-521-9	杨敏毅著	B84				
青少年发展与适应问题	978-7-5617-6176-2	陈金定著	B84				
大学生心理适应指南	978-7-5639-2259-8	主编张革	B84				
大学生心理健康	978-7-5617-6693-4	主编边玉芳	B84				
大学生心理健康通识	978-7-300-12101-7	"文书锋,胡邓,俞国良主编"	B84				
改变生活的心理学法则	978-7-5430-4295-7	陈倩编著	B84				
左手心理学·右手经济学	978-7-5044-6765-2	马银春编著	B84				
梦的意义	978-7-201-06085-9	(美)米格内·冈萨雷斯-威普乐著;王泓译	B84				
心理学论文写作	978-7-5624-5354-3	"拉尔夫·罗斯诺,米米·罗斯诺著;刘文译"	B84				
成长	978-7-300-11816-1	谢耘著	B84				
每天进步一点点	978-7-5439-4348-3	袁和平编著	B84				
我们都是80后	978-7-80255-445-0	"孙超,康瑞锋编著"	B84				
左右你一生的心态	978-7-5308-5006-0	漆浩编著	B84				
最大的敌人是你自己	978-7-5104-0733-8	(美)奥里森·马登著;靳丽霞译	B84				
细节决定成败全集	978-7-5064-6033-0	苏醒编著	B84				
女人的幸福女人定	978-7-80249-206-6	(德)萨比娜·阿斯格德姆著;宋_译	B84				
自我提升的马太效应	978-7-5440-4329-8	赵佳编著	B84				
人性的优点	978-7-81120-637-1	(美)戴尔·卡内基著;胡志刚译	B84				
"得意时瞧得起别人,失意时瞧得起自己"	978-7-5463-1118-0	"(美)马瑟·麦凯,帕瑞克·范宁著;王国平译"	B84				
一天就能读完的《巴比伦的富翁》	978-7-5019-7495-5	(英)凯伦·麦克格雷迪著;余洁译	B84				
思	978-7-5113-0022-5	苏木禄编著	B84				
像李开复一样思考人生	978-7-229-02030-9	徐宪江著	B84				
财富·红宝石	978-7-80688-475-1	(美)克莱门特·斯通等著	B84				
涟漪词	978-7-208-08659-3	陈郁敏著	B84				
人格发展心理学	978-7-5338-7343-1	李晓文主编	B84				
论宗教宽容	978-7-100-06479-8	(英)洛克著;吴云贵译	B92				
宗教人类学学说史纲要	978-7-5004-6980-3	金泽著	B92				
宗教人类学学说史纲要	978-7-5004-6981-0	金泽著	B92				
中国原始信仰研究	978-7-5004-8591-9	孟慧英著	B93				
中国百神图文志	978-7-80186-986-9	主编汪小洋;撰稿王宁宁[等]	B93				
中国民间崇拜	978-7-5439-3960-8	(法)禄是遒著;张旭虹译	B93				
佛学问答	978-7-300-10522-2	"洪修平,许颖著"	B94				
百喻经全书	978-7-5107-0062-0	原著尊者僧伽斯那;编著司马哲	B94				
百喻经	978-7-5461-0849-0	李牧章编著	B94				
中国禅学思想史	978-7-300-07896-0	洪修平著	B94				
中国禅宗思想史略	978-7-300-07911-0	麻天祥著	B94				
中国禅宗美学的思想发生与历史演进	978-7-01-008827-3	刘方著	B94				
元明时期藏传佛教在内地的发展及影响	978-7-5004-8337-3	赵改萍著	B94				
禅里禅外悟人生	7-5613-3545-8	李叔同著	B94				
中国佛教文化论	978-7-300-08281-3	赖永海著	B94				
弘一法师永怀录	978-7-5387-2738-8	"夏丐尊,蔡冠洛等著"	B94				
中国道教思想史	978-7-01-008212-7	主编卿希泰	B95				
中国道教思想史	978-7-01-008213-4	主编卿希泰	B95				
中国道教思想史	978-7-01-008211-0	主编卿希泰	B95				
中国道教思想史	978-7-01-008210-3	主编卿希泰	B95				
宗教词典	978-7-5326-2840-7	主编任继愈;主要编写人王守华[等]	B96				
致希腊人书	978-7-5004-8155-3	"(古罗马)塔提安等著;滕琪,魏红亮译"	B97				
自由精神哲学	978-7-5426-3160-2	(俄)尼古拉·别尔嘉耶夫著;石衡潭译	B97				
约翰福音注释	978-7-5426-2926-5	钟志邦著	B97				
创世记注释	978-7-5426-2927-2	邝炳钊著	B97				
圣经的故事	978-7-5459-0187-0	(美)房龙著;张稷译	B97				
神学讲演录	978-7-108-03117-4	(古罗马)纳西盎的格列高利著;石敏敏译	B97				
新教伦理与资本主义精神	978-7-80195-561-6	"(德)马克斯·韦伯著;李修建,张云江译"	B97				
奥义书	978-7-80179-738-4	乃文编译	B98				
风水的村庄	978-7-5306-4922-0	刘华著	B99				
中国高校哲学社会科学发展报告	978-7-5633-7865-4	丛书主编教育部社会科学委员会;本卷主编李	C12				
质性研究的理论视角	978-7-5624-4889-1	"马茨·艾尔维森,卡伊·舍尔德贝里著;陈仁"	C31				
人文社会科学研究成果评价体系研究	978-7-5058-8210-2	刘大椿等著	C39				
实验设计原理	978-7-5624-5187-7	"戴维·威勒,亨利·沃克著;杜伟宇,孟琦译"	C33				
叙事研究	978-7-5624-4303-2	"艾米娅·利布里奇,里弗卡·图沃-玛沙奇"	C34				
实用数据再分析法	978-7-5624-4296-7	"马克·W.利普西,戴维·B.威尔逊著;刘军"	C37				
