1							
斯大林	7-80600-850-0	编著刘乐华等	A74				
中国百名经济学家理论贡献精要	978-7-80221-997-7	张卓元[等]主编	F12				
中国经济缺什么	978-7-80767-164-0	朱敏编著	F12				
经济学探索	978-7-01-008835-8	李少宇著	F12				
市场、政府与企业	978-7-300-12054-6	杨其静著	F12				
经济学的时代问题	978-7-5097-1555-0	主编深圳大学经济学院	F12				
中国民营经济制度创新与发展	978-7-5058-7749-8	李维安等著	F12				
双重转型下的中国产业组织优化研究	978-7-5096-0332-1	余东华著	F12				
中国产业竞争力研究	978-7-5058-7597-5	赵彦云等著	F12				
2009-2010年中国宏观经济形势分析与预测	978-7-5017-9689-2	国家发展和改革委员会宏观经济研究院课题组	F12				
中国经济大预测	978-7-80767-163-3	网易财经中心编	F12				
论竞争性市场体制	978-7-5000-8179-1	"吴敬琏,刘吉瑞著"	F12				
中国市场经济发展研究	978-7-5058-8425-0	刘伟等著	F12				
市场的逻辑	978-7-208-09343-0	张维迎著	F12				
社会主义市场经济理论	978-7-300-12198-7	李丰才著	F12				
经济增长与波动的风险和对策	978-7-5096-0716-9	汪同三主编	F12				
全球经济调整中的中国经济增长与宏观调控体系研究	978-7-5058-7596-8	黄达等著	F12				
科技创新与区域经济的非均衡增长	978-7-5047-3046-6	"唐德祥,皮星著"	F12				
消费者资源节约与环境保护行为及其影响机理	978-7-5004-8410-3	王建明著	F12				
平衡与不平衡视角下的产业发展研究	978-7-81110-398-4	夏锦文著	F12				
过剩经济学	978-7-80753-857-8	周志著	F12				
中国经济将重蹈日本覆辙?	978-7-5044-6813-0	韩和元著	F12				
国际金融危机下的中国经济发展	978-7-5000-8261-3	李晓西等著	F12				
金融危机后的中国经济	978-7-208-09216-7	张维迎主编	F12				
国人生计问题	978-7-5017-9553-6	李伟著	F12				
全球金融危机下的中国	978-7-5097-1343-3	"(澳)郜若素,宋立刚,胡永泰主编"	F12				
中国经济现代化透视	978-7-5432-1757-7	胡书东著	F12				
自救图强	978-7-302-22569-0	"王俊峰,钟震,金书羽编著"	F12				
能源对中国经济增长的动态效应	978-7-5642-0639-0	"胡斌,章宗琰著"	F12				
全球化与中国国家转型	978-7-213-04004-7	"郑永年著;郁建兴,何子英译"	F12				
中国城市居民文化产品消费行为研究	978-7-5642-0716-8	左鹏著	F12				
生活质量的指标构建及其现状评价	978-7-5058-8486-1	周长城等著	F12				
西三角经济区研究	978-7-300-08742-9	邵锋著	F12				
欠发达地区的经济发展与金融支持	978-7-5096-0865-4	"王栋,曹爱红,齐安甜著"	F12				
城乡结合型县域经济发展	978-7-311-03546-4	"王海峰,童长凤著"	F12				
中国新疆的特色产业选择与发展战略	978-7-5642-0759-5	麦勇著	F12				
冲突与和谐	978-7-300-11597-9	"刘志彪,郑江淮等著"	F12				
长三角区域经济一体化	978-7-300-11606-8	刘志彪等著	F12				
客厅即工厂	978-7-5624-4886-0	"熊秉纯著;蔡一平,张玉萍,柳子剑译"	F12				
策划重庆·策划四川	978-7-302-22438-9	刘斌夫著	F12				
共同繁荣发展的探索	978-7-105-10644-8	国家民委经济发展司编;主编葛忠兴	F12				
中国经济区比较	978-7-5097-1276-4	叶飞文著	F12				
区域技术扩散与产业梯度转移问题研究	978-7-5096-0723-7	张经强著	F12				
中国区域经济增长差异研究	978-7-5610-6049-0	孙京著	F12				
中国加入区域经济一体化研究	978-7-5058-8250-8	黄卫平等著	F12				
国民政府战时统制经济与贸易研究	978-7-80745-555-4	郑会欣著	F12				
民国经济	978-7-5000-8299-6	编著肜新春	F12				
中国近代经济史	978-7-01-008506-7	"刘克祥,吴太昌主编"	F12				
中华人民共和国经济史	978-7-5096-0876-0	龚关主编	F12				
西方世界的兴起	978-7-5080-5137-6	"(美)道格拉斯·诺斯,(美)罗伯斯·托马斯"	F15				
走进法国	978-7-113-10877-9	(法)安德列·德·菲尔斯著;贾宏亮译	F15				
资产组合管理	978-7-313-05449-4	"蔡明超,杨朝军著"	F20				
合同·权威·授权	978-7-5642-0726-7	蒋士成著	F20				
资产评估学理论与实务	978-7-81123-967-6	王玲主编	F20				
资产评估理论与实务	978-7-115-22237-4	"于艳芳,宋凤轩编著"	F20				
经济数学	978-7-5640-2659-2	"主编顾晓夏,钟强,郑燕华"	F22				
高级计量经济学	978-7-5642-0368-9	"(日)雨宫健著;朱保华,周亚虹等译"	F22				
计量经济学指南	978-7-300-12333-2	(美)皮特·肯尼迪著;陈彦斌等译	F22				
项目采购管理	978-7-5047-2981-1	"白丽君,傅培华编著"	F22				
基础会计	978-7-81134-052-5	"郭桂杭,黄伟新编著"	F23				
会计常见错误82例	978-7-80255-249-4	吴芳编著	F23				
初级会计学	978-7-5640-2575-5	"郑阿泰,肖莉主编"	F23				
高级会计学	978-7-5642-0644-4	张其秀编著	F23				
新编新手学会计三天速成	978-7-5064-5901-3	刘力编著	F23				
一本书学会做会计	978-7-115-22547-4	王勇编著	F23				
手把手教老板读报表	978-7-5064-6019-4	吴晶编著	F23				
教你做一名做账高手	978-7-5639-2299-4	玉卓主编	F23				
会计信息系统	978-7-80684-799-2	"上海国家会计学院编;本册编著饶艳超,汪_"	F23				
会计信息化实用教程	978-7-80684-831-9	王新玲主编	F23				
金蝶ERP-K/3培训教程	978-7-115-22747-8	"何亮,牛全保,龚中华编著"	F23				
会计综合实验	978-7-5432-1525-2	"程夏,刘建华,张治彬编著"	F23				
成本会计实务	978-7-5640-2999-9	"主编崔红敏,徐洪梅"	F23				
成本管理会计	978-7-5095-1927-1	"李金泉,余新培主编"	F23				
现代管理会计	978-7-5605-3020-8	"主编王海民,唐云波"	F23				
管理控制系统	978-7-115-21860-5	"(美)罗伯特·安东尼,维杰伊·戈文达拉扬"	F23				
财务会计实验	978-7-5432-1613-6	"主编申香华,周宇;编写申香华[等]"	F23				
国际会计	978-7-5432-1585-6	"主编周晓苏,李姝;编写杨忠海[等]"	F23				
审计学	978-7-80684-848-7	王淑芳主编	F23				
企业财务报表审计实务问题释疑	978-7-5096-0740-4	王彦主编	F23				
现代企业财务审计	978-7-5095-2080-2	王会金主编	F23				
劳动经济学	978-7-115-22456-9	刘仙梅主编	F24				
劳动经济学	978-7-300-12238-0	(美)乔治·J·鲍哈斯著;夏业良译	F24				
人力资源管理概论	978-7-313-04704-5	赵永乐[等]编著	F24				
人力资源管理	978-7-81113-631-9	主编卢福财	F24				
人力资源管理实用手册	978-7-80730-874-4	王黎主编	F24				
人力资源管理	978-7-5432-1523-8	"(澳)休·巴克纳尔,大_令治著;袁庆宏等译"	F24				
通过知识与技能获得解放	978-7-5017-9484-3	曲克敏著	F24				
效率与生产率的非参数分析	978-7-5097-1474-4	孙巍著	F24				
人力资本与FID技术外溢效应研究	978-7-5607-4015-7	刘晶著	F24				
人力资源服务与咨询	978-7-5628-2772-6	主编朱庆阳	F24				
劳动力市场性别歧视与社会性别排斥	978-7-03-027140-2	张抗私著	F24				
通往和谐之路	978-7-300-12131-4	荣兆梓等著	F24				
物流统计学	978-7-5047-3341-2	蔡定萍编著	F25				
供应链上下游流程与岗位模拟实验教程	978-7-5047-3094-7	"何向军,染培明,彭臣编著"	F25				
供应链核心制造企业流程与岗位模拟实验教程	978-7-5047-3093-0	"何向军,染培明,彭臣编著"	F25				
运输与仓储技术	978-7-5047-3012-1	"吴承建,彭建良编著"	F25				
综合物流保障手册	978-7-5047-3037-4	(美)詹姆斯·V.琼斯著;胡勇译	F25				
物流管理概论	978-7-5624-4916-4	主编刘元洪	F25				
现代物流管理创新发展和人才培养	978-7-313-05611-5	汪泓主编	F25				
服务供应链管理	978-7-5047-3171-5	"刘伟华,刘希龙著"	F25				
配送管理	978-7-5624-4795-5	主编冷志杰	F25				
物流案例教程	978-7-81110-681-7	汪传雷主编	F25				
国际物流与制度因素	978-7-5047-3377-1	王国文著	F25				
物流管理教程	978-7-5047-3368-9	"姜劲,刘联辉,樊宏主编"	F25				
物流的内涵和物流战略管理实践	978-7-5047-3389-4	靳伟著	F25				
物流系统规划与设计	978-7-81123-960-7	主编高举红	F25				
物流师实用手册	978-7-122-08192-6	"霍红,徐玲玲主编"	F25				
物流管理与战略	978-7-300-11612-9	"艾伦·哈里森,雷姆科·范赫克著;任建标"	F25				
物流技术与物流装备	978-7-300-11610-5	"陈子侠,彭建良编著"	F25				
物流系统规划与设计	978-7-5624-4686-6	施国洪主编	F25				
供应管理手册	978-7-121-10129-8	"(美)约瑟夫·L·卡维纳托,安娜·E·弗林"	F25				
物流信息系统	978-7-308-07364-6	主编邵雷	F25				
供应链库存管理	978-7-5096-0797-8	王夏阳著	F25				
创新产品供应链的供应柔性和库存风险管理	978-7-5642-0752-6	张以彬著	F25				
物流成本管理	978-7-300-11769-0	"冯耕中,李雪燕,汪寿阳编著"	F25				
冲出数字化	978-7-111-30967-3	项有建著	F25				
中国现代物流发展报告	978-7-5047-3166-1	"国家发展和改革委员会经济运行局,南开大学"	F25				
中国物流发展报告	978-7-5047-3076-3	"中国物流与采购联合会,中国物流学会"	F25				
企业家的工作与家庭冲突	978-7-5642-0651-2	王华锋著	F27				
企业信息化与知识工程	978-7-313-05968-0	"胡洁,彭颖红编著"	F27				
企业资源计划	978-7-5121-0091-6	"郑称德,陈曦编著"	F27				
企业信息化基本要求与评价	978-7-5323-9935-2	"王睿,顾伟华,江勇编著"	F27				
管理学经典案例	978-7-80247-081-1	"陈西川,杜贺亮,孙东坡编著"	F27				
赢在执行	978-7-5308-5612-3	王铁梅编著	F27				
铁律	978-7-80767-056-8	张兵编著	F27				
运营管理	978-7-5092-0500-6	"(英)奈杰尔·斯莱克,斯图尔特·钱伯斯"	F27				
战略管理	978-7-5640-1781-1	何海燕[等]编著	F27				
企业业务选择与优化	978-7-313-05534-7	顾锋著	F27				
德鲁克管理沉思录	978-7-80729-489-4	任朝彦编著	F27				
统一报告	978-7-5432-1768-3	"(美)艾博思,(美)迈克尔·P.克鲁斯著;赵"	F27				
明星法则	978-7-5086-1830-2	(英)理查德·科克著;王海舟译	F27				
追求卓越的激情	978-7-5086-1923-1	"(美)汤姆·彼得斯,南希·奥斯汀著;张秀琴"	F27				
创业实务教程	978-7-81135-454-6	"陈文彬,吴恒春主编"	F27				
企业软实力与声誉管理	978-7-5097-1430-0	徐金发等著	F27				
传播学视域下的企业文化研究	978-7-308-07591-6	"蔡罕,郭鉴著"	F27				
"你如何,赚到100万美金"	978-7-5060-3801-0	(英)马汀·韦伯著;刘静译	F27				
创业前的8堂必修课	978-7-5054-2295-7	"宇琦,杨小清编著"	F27				
工作就要解决问题	978-7-80249-198-4	"曹慧青,李文勇编著"	F27				
持续增长	978-7-80255-167-1	"金焕民,刘春雄著"	F27				
运营管理教程	978-7-5642-0775-5	宋克勤编著	F27				
企业形象设计	978-7-122-06974-0	周小儒编著	F27				
现代企业管理实务	978-7-122-06565-0	张振刚主编	F27				
绩效分析与改进	978-7-300-11770-6	"理查德·A·斯旺森著;孙仪,杨生斌译"	F27				
企业伦理精品案例	978-7-313-06173-7	主编周祖城	F27				
狡辩者请辞职	978-7-5060-3800-3	(日)酒卷九著;杨小青译	F27				
创业者常犯的20个错误	978-7-121-10064-2	王波编著	F27				
简单高效的37个管理规则	978-7-5064-6274-7	邓志华编著	F27				
执行力决定竞争力	978-7-115-22682-2	严家明著	F27				
企业内部控制实施细则手册	978-7-115-21943-5	周常发编著	F27				
公司治理	978-7-5642-0760-1	张银杰著	F27				
企业购并教程	978-7-300-11604-4	包明华编著	F27				
消费者认知视角下的危机处理研究	978-7-313-06197-3	王志良著	F27				
组织生存力	978-7-229-01318-9	合著者(美)彼得·德鲁克等;刘祥亚译	F27				
高效团队的基本模型	978-7-5060-3726-6	"(美)史蒂芬·E·科恩,文森特·D·奥康奈"	F27				
企业公关	978-7-301-17073-1	吴贤军主编	F27				
组织设计杠杆	978-7-100-06229-9	(美)罗伯特·西蒙斯著;吴雯芳译	F27				
如何成为杰克·韦尔奇	978-7-5327-4770-2	"(美)斯蒂芬·H·鲍姆,戴夫·康蒂著;扈喜"	F27				
我要当老板	978-7-80255-328-6	唐宏伟编著	F27				
绩效激励与薪酬激励	978-7-80255-323-1	朱飞著	F27				
实用面试招聘技巧	978-7-80255-346-0	褚建航编著	F27				
汇聚人才的N个锦囊	978-7-5017-9671-7	尹剑锋编著	F27				
让创造利润成为习惯	978-7-80753-996-4	施伟德著	F27				
这样的员工最受欢迎	978-7-5104-0896-0	邵宏彬著	F27				
营销人员聘用管理模拟研究	978-7-5642-0730-4	刘凤霞著	F27				
绩效管理	978-7-81122-946-2	林新奇著	F27				
卓越员工的12种能力	978-7-5113-0130-7	韩健编著	F27				
认同感	978-7-5017-9786-8	刘建军著	F27				
善待工作就是善待自己	978-7-5021-7604-4	唐渊著	F27				
责任与忠诚	978-7-5021-7517-7	慕小刚编著	F27				
先人后事	978-7-03-026300-1	刘澜[等]著	F27				
话题~故事~游戏	978-7-80234-505-8	高彩凤编著	F27				
绩效考核与管理	978-7-5628-2573-9	"主编张培德,李刚"	F27				
永远忠诚	978-7-80255-368-2	"朱兴佳,王华玉著"	F27				
以价值观为本	978-7-111-28546-5	吴维库著	F27				
目标分解与量化考核设计全案	978-7-115-22293-0	"孙宗虎,李作学编著"	F27				
绩效量化考核方法、案例及模板	978-7-122-07123-1	罗双平著	F27				
敬业成就卓越	978-7-115-22361-6	权锡哲著	F27				
要结果不要借口	978-7-115-22053-0	唐华山编著	F27				
忠诚胜于能力全集	978-7-80251-274-0	白袷编著	F27				
谁为你买单	978-7-80251-245-0	钟殿舟著	F27				
忠诚比能力更重要	978-7-115-20540-7	权锡哲著	F27				
用行动担当责任	978-7-115-22353-1	高玉卓著	F27				
最有效的220张量化考核图表	978-7-115-22487-3	孙宗虎编著	F27				
什么样的人企业永不放弃	978-7-80255-347-7	宋成魏编著	F27				
质与量的战争	978-7-5060-3854-6	杨钢著	F27				
品牌长青	978-7-113-11135-9	"(英)汉密士·普林格,(英)彼得·菲尔德著"	F27				
个人型和社会型象征意义对品牌忠诚的作用研究	978-7-5642-0649-9	侯历华著	F27				
质量管理与质量控制	978-7-300-12027-0	"(美)詹姆斯·R·埃文斯,威廉·M·林赛著;"	F27				
图解六西格玛	978-7-121-09866-6	(日)钻石社六西格玛研究组著;孙欣欣译	F27				
无形资产辞典	978-7-5326-2426-3	于玉林主编	F27				
现代企业中的全面生产设备管理	978-7-5357-6079-1	编著张友诚	F27				
供应链设计与管理	978-7-300-11614-3	"(美)大卫·辛奇-利维,菲利普·卡明斯基,"	F27				
精益生产	978-7-111-28260-0	"刘树华,鲁建厦,王家尧编著"	F27				
现场对现场	978-7-5060-3797-6	(日)加藤治彦著;郑新超译	F27				
超越约束理论	978-7-5095-1833-5	(美)威廉·莱文森著;任建标译	F27				
生产与运作管理	978-7-81123-825-9	"马义飞,张媛媛编著"	F27				
运营管理	978-7-5432-1726-3	"主编季建华;参编吴迪,汪蓉"	F27				
生产运营与物流工作执行流程	978-7-115-21944-2	姚小风编著	F27				
"卖出去是徒弟,收回款才是师傅"	978-7-301-06190-9	林有田著	F27				
采购规范化管理实用工作手册	978-7-5064-5401-8	张尚国主编	F27				
供应链管理与物流	978-7-313-06212-3	沙梅编	F27				
如何解决投诉难题	978-7-5017-9595-6	陈建华主编	F27				
采购舞弊手段揭秘与防范技巧	978-7-5017-9311-2	郭凡主编	F27				
服务是一种魔幻沟通	978-7-5060-3730-3	"(美)黛安娜·贝伦鲍姆,汤姆·拉金著;胡涛"	F27				
关键点营销	978-7-5047-3366-5	贾昌荣著	F27				
五分钟打动你的客户	978-7-5017-9644-1	吕静霞编著	F27				
运营管理	978-7-300-11613-6	"罗伯塔·S·拉塞尔,伯纳德·W·泰勒著;邵"	F27				
供应链管理	978-7-5624-4608-8	吴志华等编著	F27				
顾客利益代言	978-7-300-09866-1	"格伦·厄本著;王永贵,冯慧译"	F27				
客户关系管理	978-7-300-11850-5	"威廉·G·齐克蒙德,小雷蒙德·迈克利奥德"	F27				
赢在现金	978-7-5609-5644-2	贺志东主编	F27				
透过现象看本质	978-7-5429-2385-1	主编杜安国	F27				
资本运营与公司治理	978-7-302-22157-9	曾江洪编著	F27				
拿来就用的会计学	978-7-5058-9235-4	晏细尚编著	F27				
财务会计报告的编报与分析	978-7-80684-792-3	"上海国家会计学院编;本册编著刘凤委,汪_"	F27				
企业投资的财会操作实务	978-7-5609-5689-3	贺志东主编	F27				
企业重组清算的财会操作实务	978-7-5609-5643-5	贺志东主编	F27				
查账与调帐实用技巧	978-7-5429-2376-9	"主编潘远湘,吴立佳"	F27				
成本控制步步通	978-7-80249-135-9	主编王福利	F27				
算准成本管好账	978-7-5064-6013-2	陈智刚编著	F27				
拿来就用的财务管理学	978-7-5058-9224-8	付萌编著	F27				
财务管理	978-7-5640-2553-3	"主编王顺金,邹俊霞"	F27				
财务管理学	978-7-5640-2593-9	主编肖淑芳	F27				
企业筹资的财会操作实务	978-7-5609-5686-2	贺志东主编	F27				
生产主管财务一点通	978-7-111-28645-5	代义国编著	F27				
财务管理专业建设与教学研究	978-7-81138-711-7	阮萍主编	F27				
财政决策支持系统	978-7-5642-0712-0	饶艳超主编	F27				
Excel财务实战应用精练	978-7-122-08307-4	徐爱民等编著	F27				
网络视角的集群企业二元式创新研究	978-7-5607-4013-3	刘春玉著	F27				
舞弊秘档之美诱惑下的腐败	978-7-80684-837-1	"(美)约瑟夫·T.威尔斯主编;孙坤,郑艳茹译"	F27				
造假账手法大曝光	978-7-80255-433-7	郭熙编著	F27				
服务经济时代的公司价值创造	978-7-80255-279-1	"(波兰)安杰伊·鹤尔满,安杰伊·厦卜乐夫"	F27				
公司管理制度制定与范例全书	978-7-5113-0049-2	苏豫编著	F27				
公司舞弊手册	978-7-81122-969-1	(美)约瑟夫·T.韦尔斯著;朱锦余主译	F27				
企业文化案例精选评析	978-7-80255-325-5	石磊编著	F27				
世界经典管理败鉴48例	978-7-5047-3167-8	赵文明等编著	F27				
赢在体验	978-7-81110-709-8	"编著魏华飞,陈俊,陆燕"	F27				
400个百年老店的长赢基因	978-7-5098-0665-4	张俊杰编著	F27				
创业成功者的40条经验	978-7-121-10444-2	王波编著	F27				
中国企业国际化经营战略研究	978-7-5642-0770-0	"郭羽诞,贺书锋著"	F27				
并分天下	978-7-03-027021-4	文觞著	F27				
非常三国	978-7-5396-3066-3	童伟宏著	F27				
中国品牌报告	978-7-313-04240-8	主编余明阳	F27				
中国最佳商业案例	978-7-313-06453-0	主编何志毅	F27				
品牌真相	978-7-313-05300-8	汪英泽著	F27				
新旧会计准则差异比较与实务应用	978-7-80255-461-0	《新旧会计准则差异比较与实务应用》编写组	F27				
企业会计准则宝典·财税人员必备手册	978-7-5609-5685-5	贺志东主编	F27				
企业内部控制配套指引解读与案例分析	978-7-5429-2532-9	企业内部控制编审委员会编著	F27				
中国式失败	978-7-5017-9507-9	陈晓峰著	F27				
投资促进	978-7-5017-9724-0	商务部投资促进事务局编	F27				
转轨时期中国企业的战略导向选择	978-7-302-22289-7	张黎明著	F27				
创业那些事儿	978-7-302-22138-8	金晓光编	F27				
政府猎头	978-7-81135-466-9	宋斌著	F27				
中国式绩效	978-7-5642-0692-5	陈镭著	F27				
俞敏洪创业启示录	978-7-115-21206-1	朱乘尧编著	F27				
企业并购实务	978-7-313-05492-0	"主编李涤非,颜蓉,罗新宇"	F27				
海外创业板运作机制比较研究	978-7-313-05911-6	王晓津著	F27				
文明生长	978-7-5017-9551-2	曾和平著	F27				
文化传统下中国家族企业成长研究	978-7-80255-334-7	许忠伟著	F27				
上市公司的投资行为与效率研究	978-7-5642-0440-2	"张祥建,郭岚,徐磊著"	F27				
治理环境、控股股东代理冲突和会计稳健性研究	978-7-81135-464-5	刘嫦著	F27				
李嘉诚如是说	978-7-5017-8618-3	李玉舒著	F27				
G时代创业的5大定律	978-7-5357-6028-9	(日)梅田望夫著;周晓晗译	F27				
鼓励非正式	978-7-5060-3773-0	(英)德斯·狄洛夫著;蔡蓓娟译	F27				
谷歌小子	978-7-5086-1966-8	理查德·勃兰特著;谭永乐译	F27				
搜	978-7-5086-1895-1	"(美)约翰·巴特尔著;张岩,魏平译"	F27				
麦肯锡传奇	978-7-111-30375-6	(美)伊丽莎白·哈斯·埃德莎姆著;魏青江	F27				
城市文化经济学	978-7-300-12110-9	"艾伦·J·斯科特著;董树宝,张宁译"	F29				
物业管理概论	978-7-302-22018-3	"周宇,董藩编著"	F29				
商业物业的物业服务与经营	978-7-122-07384-6	戴玉林主编	F29				
物业公司规范化管理工具箱	978-7-115-21966-4	周鸿编著	F29				
售楼部管理手册	978-7-111-28042-2	陈春洁编著	F29				
一本书学会做房地产经纪人	978-7-115-22267-1	"刘建伟,陈朴编著"	F29				
城市化进程中的重大社会问题及其对策研究	978-7-5058-7857-0	李强等著	F29				
制度转型中的博弈学习行为	978-7-308-07388-2	章平著	F29				
中国公共住房政策模式研究	978-7-81049-904-0	姚玲珍著	F29				
世界第六大城市群	978-7-80745-679-7	主编胡雅龙	F29				
中国农村与农民问题前沿研究	978-7-5058-8134-1	徐勇等著	F32				
农民工改变中国农村	978-7-213-04003-0	"(爱尔兰)瑞雪·墨菲著;黄涛,王静译"	F32				
乡村中国的权力与财富	978-7-213-04005-4	"(美)白苏珊著;郎友兴,方小平译"	F32				
敢为天下先	978-7-01-008828-0	叶一壮著	F32				
我国土地制度与社会经济协调发展研究	978-7-5058-9092-3	黄祖辉等著	F32				
中国新农村建设调查	978-7-80706-960-7	李剑阁主编	F32				
粮食安全与粮农增收目标的公共财政和农业政策性金融支持研究	978-7-5096-0907-1	赵文先著	F32				
现代化与农业创新路径的选择	978-7-303-10865-7	郑林著	F32				
太阳经济	978-7-5060-3841-6	"(日)山崎养世著;王智新,吴广义译"	F40				
汽车营销实务	978-7-5640-3050-6	"主编王梅,常兴华"	F40				
期权及其在电力市场中的应用	978-7-80247-525-0	王瑞庆著	F40				
电子工业中的过程改进	978-7-5605-2945-5	"(美)耶菲姆·法瑟,唐纳德·布雷特纳著;卫"	F40				
私家教练	978-7-121-10012-3	陈新著;晏平插图	F40				
供应链风险管理研究	978-7-313-06293-2	刘丽萍著	F40				
手工艺创意产业	978-7-80186-963-0	许思豪编著	F40				
施工企业会计	978-7-5640-2389-8	"主编李赞祥,宋勇"	F40				
可再生能源政策法规知识读本	978-7-122-04970-4	"任东明,王仲颖,高虎等编著"	F41				
砂糖的世界史	978-7-5306-4724-0	(日)川北稔著;郑渠译	F41				
劳动剩余与工资上涨条件下的工业化	978-7-300-11793-5	丁守海著	F42				
知识竞争力与制造业价值链优化	978-7-313-06152-2	"陈俊芳,洪江涛,余祖德著"	F42				
中国特大都市圈与世界制造业中心研究	978-7-5058-7606-4	李廉水等著	F42				
世界向东	978-7-5454-0199-8	吴迎秋主编	F42				
张瑞敏如是说	978-7-213-02689-8	胡泳著	F42				
打进鸟巢	978-7-5360-5975-7	徐风云著	F42				
互动休闲软件创意产业	978-7-80186-960-9	许强编著	F42				
贝因美密码	978-7-301-14856-3	"罗建幸,邵清风,林元著"	F42				
康师傅背后的魏氏家族	978-7-80257-143-3	孙绍林著	F42				
中国的经济革命	978-7-214-06100-3	"(日)顾琳著;王玉茹,张玮,李进霞译"	F42				
中国区域工业可持续发展研究	978-7-122-07032-6	"李峰,李心颖,钱耀军编著"	F42				
中国近代民族企业文化	978-7-5096-0902-6	林德发著	F42				
赢	978-7-5086-1782-4	"(美)杰克·韦尔奇,苏茜·韦尔奇著;余江,"	F47				
信息通信技术产业标准竞争与合作研究	978-7-5004-8455-4	耿乃国著	F49				
信息技术与网络创意产业	978-7-80186-961-6	盛思梅编著	F49				
IT项目管理	978-7-81123-544-9	郭宁编著	F49				
旅游景区管理	978-7-307-07438-5	"钟永德,陈晓磬主编"	F59				
现代导游讲解技巧	978-7-313-06092-1	主编蒋炳辉	F59				
旅游企业人力资源管理	978-7-313-05875-1	"主编严伟,戴欣佚"	F59				
策动旅游	978-7-5017-9238-2	谭小芳著	F59				
旅游经济学	978-7-300-12158-1	张立生等编著	F59				
2010年中国旅游发展分析与预测	978-7-5097-1408-9	"主编张广瑞,刘德谦,宋瑞"	F59				
湖南省旅游产业转型与结构优化升级研究	978-7-81113-757-6	许春晓著	F59				
中国通信信息业发展	978-7-5635-2297-2	申江婴主编	F63				
用户体验及其在通信产品开发中的应用	978-7-115-22078-3	"杨会利,李诞新,葛列众编著"	F63				
销售与口才知识全集	978-7-5639-2051-8	盛乐编著	F71				
会说话·拿订单	978-7-5635-2129-6	史迪文著	F71				
星座帮你做销售	978-7-5017-9729-5	乔易著	F71				
现代推销学教程	978-7-111-30058-8	"主编陈守刚,戴秀英,戴昀弟;参编朱丽蕊"	F71				
销售应该这样做	978-7-5064-6362-1	乔梁主编	F71				
系统的力量	978-7-213-04228-7	周剑东著	F71				
销售管理	978-7-300-11767-6	"小约翰·F·坦纳,小厄尔·D·霍尼克特,罗"	F71				
先交朋友再做销售	978-7-122-08024-0	"吕国荣,吕品编著"	F71				
世界上最伟大的推销员	978-7-115-22186-5	邓嫒嫒编著	F71				
像销售大师一样掌控客户	978-7-80251-364-8	"张扬,关明月编著"	F71				
电话销售与成交技巧实训	978-7-122-06894-1	崔小屹著	F71				
一本书学会做销售	978-7-115-22313-5	唐华山编著	F71				
销售要有好口才	978-7-115-22538-2	"邹华英,方华明编著"	F71				
一本书学会做电话销售	978-7-115-22364-7	郑月玲编著	F71				
销售管理	978-7-300-11849-9	"威廉·L·科恩,托马斯·E·德卡罗著;刘宝"	F71				
卖场营销学	978-7-308-07498-8	"赵金蕊,李严锋编著"	F71				
双向拍卖的交易机制和交易策略	978-7-5609-4946-8	詹文杰著	F71				
电子商务基础与应用	978-7-300-11394-4	主编卢志刚	F71				
网店人气商品页面设计技法	978-7-115-21965-7	(韩)林和延著;武传海译	F71				
在淘宝开家挣钱的特色网店	978-7-115-22759-1	上海伟雅著	F71				
电子商务概论	978-7-5640-2979-1	扈健丽主编	F71				
电子商务平台建设与管理实验教程	978-7-5624-4910-2	"孟伟,李茜,曾波编著"	F71				
电子商务	978-7-81138-248-8	段杨主编	F71				
电子商务技术与实务	978-7-81089-486-9	主编俞立平	F71				
因特网创业	978-7-121-10679-8	兰宜生主编	F71				
电子商务案例分析教程	978-7-121-10248-6	司林胜主编	F71				
深层营销	978-7-03-020011-2	"(日)大松孝弘,宇佐美清,波田浩之著;陈诚"	F71				
市场营销学	978-7-5640-2534-2	"王朋,姜彩芬主编"	F71				
市场营销管理	978-7-5640-2756-8	"王秀村,王月辉编著"	F71				
营销管理	978-7-300-11369-2	"菲利普·科特勒[等]著;吕一林,王俊杰"	F71				
市场营销原理	978-7-300-11854-3	"菲利普·科特勒,加里·阿姆斯特朗著;楼尊"	F71				
市场营销管理实用手册	978-7-80730-873-7	陈东主编	F71				
现代市场调查与预测	978-7-5638-0965-3	"马连福,张慧敏主编"	F71				
市场调研策划	978-7-81138-704-9	"主编肖梁,董亚妮"	F71				
奢侈品应该这样卖	978-7-80249-196-0	(日)岩仓正枝著;田龙姬译	F71				
每天学点销售心理学全集	978-7-5021-7515-3	王俊峰编著	F71				
推销要懂心理学	978-7-5113-0156-7	"宇琦,刘水发编著"	F71				
不可不知的销售心理学	978-7-80251-407-2	段军华编著	F71				
销售要有好心态	978-7-115-22701-0	"邹华英,高志坚编著"	F71				
国外高校广告教育研究	978-7-5426-3230-2	查灿长著	F71				
广告策划	978-7-5096-0809-8	任锡源编著	F71				
广告创意与策划方法·技巧·案例	978-7-5096-0670-4	冯章主编	F71				
公共定价分析	978-7-5642-0469-3	"曾军平,杨君昌主编"	F71				
商务谈判	978-7-5624-5112-9	主编万丽娟	F71				
温州人做的和你不一样	978-7-5044-6707-2	黄永华编著	F71				
商业模式创新	978-7-80706-958-4	乔为国著	F71				
